Kinase.Gene,log2FC,mS,Enrichment,m,z.score,p.value
AKT1,-0.140285282872739,-0.140285282872739,-5.79710560815836,15,-0.300376621929143,0.381944946913967
AKT2,-0.226083132149146,-0.226083132149146,-9.34258937539991,3,-0.233616070752758,0.407641525146541
AURKA,-0.0748655940071146,-0.0748655940071146,-3.09372263425852,1,-0.0338501320957384,0.486498329598809
AURKB,-0.0928017736420415,-0.0928017736420415,-3.83491176986368,7,-0.121263412822594,0.451741199225934
BUB1,1.02417339097492,1.02417339097492,42.3226242052299,1,0.700415866020578,0.241833815325217
CAMK1,-2.92119585732395,-2.92119585732395,-120.714593435891,1,-1.935478336665,0.0264658122654375
CAMK2A,-0.495526361371386,-0.495526361371386,-20.4769779813774,5,-0.704121807638744,0.240678460168629
CAMK2B,-0.0176704075034136,-0.0176704075034136,-0.730206450304622,2,0.00616861662254557,0.497539093624688
CAMK2D,0.218827655117898,0.218827655117898,9.04276628828489,4,0.324731614305219,0.372692102744549
CAMK2G,0.240058832524416,0.240058832524416,9.92011689193148,1,0.176550319151368,0.429930810250718
CDK1,-1.02888864063444,-1.02888864063444,-42.5174757226899,16,-2.68492495519564,0.00362730466026471
CDK13,0.428090405649117,0.428090405649117,17.6902754199709,1,0.302173879920731,0.381259757442683
CDK16,-0.24148967744832,-0.24148967744832,-9.97924468468997,1,-0.145171386946559,0.442287778248351
CDK2,0.332932684384956,0.332932684384956,13.7580071997866,9,0.715797524956623,0.237058190460778
CDK4,-1.65476953159126,-1.65476953159126,-68.3811839371599,3,-1.88686350553045,0.0295893434002648
CDK5,-0.170688003008,-0.170688003008,-7.05345820474026,8,-0.276815090262964,0.390961046717877
CDK6,-1.48321410925981,-1.48321410925981,-61.2918807647823,3,-1.68834298905992,0.0456727037476278
CHEK1,-1.13995485856081,-1.13995485856081,-47.1071417349256,6,-1.82593387302031,0.033930111572389
CHEK2,-0.188958012792395,-0.188958012792395,-7.80844243411452,2,-0.155669663786046,0.438146705201094
CLK1,-0.518539432068747,-0.518539432068747,-21.4279629918409,1,-0.330267837012499,0.370598796527759
CSNK2A1,-0.672264583863969,-0.672264583863969,-27.7804535834271,8,-1.22462787802424,0.110357729587373
DAPK1,0.132425141969921,0.132425141969921,5.47229557837087,1,0.104640441243597,0.458330561685207
DYRK2,-1.05644760168729,-1.05644760168729,-43.656313699154,2,-0.975302953084752,0.164705003039779
DYRK3,-1.15146197430566,-1.15146197430566,-47.5826582242692,1,-0.753122265796479,0.22568822280786
EEF2K,0.675414607767883,0.675414607767883,27.9106241962331,1,0.467410741040835,0.320103019659309
FAM20C,-2.46896078661093,-2.46896078661093,-102.026571350106,1,-1.63334088738632,0.0511986609786682
FER,-0.252092173692296,-0.252092173692296,-10.4173789577783,1,-0.152254895897095,0.439492948973052
GSK3A,0.626248317329551,0.626248317329551,25.8788916281707,3,0.752684899832004,0.225819643011733
GSK3B,0.432975660874775,0.432975660874775,17.8921521948258,8,0.863908304674044,0.193819132188338
IRAK1,1.02417339097492,1.02417339097492,42.3226242052299,1,0.700415866020578,0.241833815325217
JAK2,-0.252092173692296,-0.252092173692296,-10.4173789577783,1,-0.152254895897095,0.439492948973052
MAP2K1,-0.176482725405932,-0.176482725405932,-7.29291751952274,2,-0.143882593409168,0.442796590550761
MAP4K3,0.420379143615029,0.420379143615029,17.3716176144737,1,0.297021999421888,0.383224856767166
MAPK1,-0.263646747365476,-0.263646747365476,-10.8948565838628,12,-0.554167875647907,0.289731980595479
MAPK12,-0.401828895371226,-0.401828895371226,-16.6050528977426,1,-0.252293734282833,0.400407015423367
MAPK13,-0.401828895371226,-0.401828895371226,-16.6050528977426,1,-0.252293734282833,0.400407015423367
MAPK14,0.767749282172835,0.767749282172835,31.7262337018005,2,0.748259509666462,0.227151821139721
MAPK3,0.0973361525741413,0.0973361525741413,4.02228904136718,9,0.24359264884214,0.40377316110187
MAPK6,0.142525919205027,0.142525919205027,5.88969697042928,1,0.111388752613468,0.455654039335852
MAPK8,1.02417339097492,1.02417339097492,42.3226242052299,1,0.700415866020578,0.241833815325217
MAPK9,1.02417339097492,1.02417339097492,42.3226242052299,1,0.700415866020578,0.241833815325217
MAPKAPK2,0.0372520005799989,0.0372520005799989,1.53939014168247,4,0.082110868299429,0.467279275328606
MAPKAPK3,0.0445648828306713,0.0445648828306713,1.84158542431687,1,0.0459411578212772,0.48167857479716
MASTL,-0.79418047396169,-0.79418047396169,-32.8184680902679,2,-0.727504165267021,0.233458582326603
MELK,0.428090405649117,0.428090405649117,17.6902754199709,1,0.302173879920731,0.381259757442683
MTOR,-0.665849313595126,-0.665849313595126,-27.5153509404999,3,-0.74250473355619,0.228890792450777
MYLK,-0.28976063419684,-0.28976063419684,-11.9739787604794,1,-0.177421127602993,0.429588806570475
NEK6,1.02417339097492,1.02417339097492,42.3226242052299,1,0.700415866020578,0.241833815325217
PAK1,-0.782415347720437,-0.782415347720437,-32.3322896550308,2,-0.716388078983591,0.236875876887571
PAK2,-0.59195708938621,-0.59195708938621,-24.4618515385034,1,-0.379318043753299,0.352225851061546
PDK1,-0.208717217493808,-0.208717217493808,-8.62496569330215,5,-0.275653883897426,0.391406959502609
PDK2,-0.208717217493808,-0.208717217493808,-8.62496569330215,5,-0.275653883897426,0.391406959502609
